ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
46,South Dakota,SD,46103,Pennington County,46103011700,Census Tract 117; Pennington County; South Dakota,596.41271307194,3766,413,2399,180,1552,140,406,129,0,10,352,118,181,101,491,178,926,143,658,284,361,121,72,49,80,87,514,544,24,18,334,110,4,12,14,16,81,5,10.8,3.2,0.0,1.3,22.7,7.3,6.3,3.5,13.1,4.2,24.6,3.9,17.5,6.2,9.6,3.4,4.7,3.1,2.2,2.4,13.6,14.4,1.0,0.7,13.9,4.3,0.3,0.8,0.9,1.0,2.2,0.3,0.1618,0.0,0.6722,0.444,0.7759,2.0539,0.39,0.8257,0.1203,0.2822,0.5602,0.9004,2.6888,0.7303,0.5187,0.5187,0.5187,0.249,0.7884,0.2822,0.1369,0.5602,2.0167,0.3154,7.2781,0.444,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2455,215,90,0,10,254,176,16,24,37,51,0,10,154,115,53,80,13.9,5.2,0.0,0.7,6.7,4.6,0.4,0.6,1.0,1.4,0.0,0.7,4.1,2.9,1.4,2.0
46,South Dakota,SD,46103,Pennington County,46103011800,Census Tract 118; Pennington County; South Dakota,4.85118050951,3345,522,1381,232,1156,153,470,208,0,10,406,158,216,103,549,234,380,132,808,299,560,242,60,60,10,41,1012,713,23,40,668,217,7,14,11,19,0,10,14.1,5.8,0.0,1.6,35.1,12.9,9.2,4.2,17.0,7.1,11.4,3.7,24.2,7.1,17.4,6.6,5.2,5.1,0.3,1.3,30.3,20.8,1.7,2.9,48.4,10.7,0.6,1.2,1.0,1.7,0.0,0.3,0.3361,0.0,0.9253,0.6929,0.8755,2.8298,0.639,0.1784,0.5104,0.8755,0.6224,0.527,2.7137,0.7427,0.8257,0.8257,0.8257,0.3029,0.9959,0.3859,0.1618,0.0,1.8465,0.249,8.2157,0.5892,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4450,184,114,56,64,165,158,7,17,716,471,0,10,68,89,0,10,15.9,9.6,1.7,1.9,4.9,4.6,0.2,0.5,21.4,13.2,0.0,0.7,2.0,2.6,0.0,0.7
46,South Dakota,SD,46105,Perkins County,46105968300,Census Tract 9683; Perkins County; South Dakota,2870.458771440484,2970,118,1725,74,1237,90,573,151,70,43,194,56,163,44,264,85,765,46,651,61,375,58,96,49,0,40,136,167,67,31,273,76,34,27,42,23,91,5,19.6,5.1,4.2,2.5,15.7,4.4,7.8,2.1,9.0,2.9,25.8,1.6,21.9,1.6,12.8,2.0,7.8,3.9,0.0,1.4,4.6,5.6,3.9,1.8,15.8,4.3,2.8,2.2,3.4,1.8,3.1,0.1,0.5726,0.7552,0.3112,0.5726,0.5975,2.8091,0.6349,0.8714,0.3278,0.6349,0.7967,0.0,2.6308,0.6722,0.0954,0.0954,0.0954,0.444,0.8299,0.722,0.4689,0.6763,3.1411,0.8091,8.6764,0.6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,160,41,0,10,13,13,22,34,57,33,0,10,31,24,13,12,12.9,3.3,0.0,0.8,0.4,0.4,0.7,1.2,1.9,1.1,0.0,0.8,1.0,0.8,0.4,0.4
46,South Dakota,SD,46107,Potter County,46107000100,Census Tract 1; Potter County; South Dakota,861.137396064366,2587,150,1583,58,1034,68,368,100,35,29,135,39,62,38,177,98,691,47,586,93,270,54,8,12,0,40,210,199,0,14,375,66,4,11,16,12,78,6,14.7,3.9,2.8,2.3,13.1,3.7,3.4,2.1,7.1,3.7,26.7,2.3,22.7,2.6,10.8,2.2,0.8,1.2,0.0,1.6,8.1,7.7,0.0,0.9,23.7,4.1,0.4,1.1,1.5,1.1,3.0,0.2,0.3734,0.6058,0.1494,0.1494,0.4315,1.7095,0.2448,0.888,0.3942,0.3983,0.0456,0.0,1.7261,0.1079,0.2988,0.2988,0.2988,0.0,0.9336,0.3112,0.2407,0.6598,2.1453,0.39,5.8797,0.2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2252,112,37,39,34,0,10,21,22,20,18,0,10,107,66,23,49,10.8,3.5,1.5,1.3,0.0,1.0,0.8,0.9,0.8,0.7,0.0,1.0,4.1,2.5,0.9,1.9
46,South Dakota,SD,46109,Roberts County,46109940400,Census Tract 9404; Roberts County; South Dakota,17.418780532206,2946,230,1183,74,1047,81,1083,217,80,40,241,64,240,79,721,172,560,65,868,162,271,70,120,42,0,40,1810,256,98,29,28,22,75,45,103,50,131,14,38.6,7.1,6.3,3.1,23.0,5.8,13.5,4.2,25.7,5.1,19.0,2.3,29.5,3.7,9.7,2.4,11.5,3.9,0.0,1.5,61.4,7.2,8.3,2.4,2.4,1.8,7.2,4.3,9.8,4.6,4.4,0.3,0.8797,0.8714,0.6846,0.8631,0.9253,4.2241,0.9212,0.5519,0.834,0.3071,0.917,0.0,2.61,0.6556,0.9419,0.9419,0.9419,0.6141,0.2946,0.9129,0.8506,0.7759,3.4481,0.8797,11.2241,0.9212,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,4,4786,204,57,21,23,50,44,5,8,1674,255,0,10,60,46,0,10,19.5,5.2,0.7,0.8,1.7,1.5,0.2,0.3,56.8,5.1,0.0,0.8,2.0,1.6,0.0,0.8
46,South Dakota,SD,46109,Roberts County,46109940700,Census Tract 9407; Roberts County; South Dakota,499.528861380986,2678,258,1180,67,963,79,802,293,52,29,159,52,76,27,250,86,508,68,857,176,237,51,121,60,0,40,1023,295,0,14,118,35,50,34,26,20,4,2,30.2,10.6,4.1,2.3,16.5,5.2,4.8,1.7,9.4,2.6,19.0,2.8,32.0,4.1,8.9,1.9,12.6,6.1,0.0,1.7,38.2,10.4,0.0,1.2,10.0,2.9,5.1,3.5,2.7,2.0,0.1,0.1,0.7967,0.7469,0.3942,0.278,0.6266,2.8424,0.6432,0.5519,0.9046,0.195,0.9378,0.0,2.5893,0.639,0.888,0.888,0.888,0.0,0.6929,0.8631,0.3776,0.2407,2.1743,0.4066,8.494,0.6183,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,1541,129,33,0,10,2,3,2,4,886,251,0,10,130,90,3,4,13.4,3.8,0.0,0.9,0.1,0.1,0.1,0.1,33.1,7.2,0.0,0.9,4.9,3.2,0.1,0.1
46,South Dakota,SD,46109,Roberts County,46109940800,Census Tract 9408; Roberts County; South Dakota,375.716277437282,2726,218,1093,68,881,73,1095,201,97,51,133,44,173,60,739,126,465,55,774,127,238,69,74,31,2,38,1655,258,7,14,79,35,45,24,13,11,45,6,40.5,6.7,7.9,3.9,15.1,4.8,10.1,3.3,27.3,3.8,17.1,2.0,28.4,3.3,8.8,2.5,8.4,3.4,0.1,1.5,60.7,8.1,0.6,1.3,7.2,3.1,5.1,2.7,1.5,1.2,1.7,0.2,0.9129,0.9046,0.278,0.7718,0.9502,3.8175,0.8672,0.4274,0.7759,0.1867,0.8257,0.444,2.6597,0.7095,0.9378,0.9378,0.9378,0.1867,0.5519,0.8631,0.2407,0.5021,2.3445,0.473,9.7595,0.8008,1,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2054,264,58,26,24,36,23,3,4,1502,246,0,10,88,71,0,10,30.0,5.9,1.0,0.9,1.3,0.8,0.1,0.1,55.1,6.3,0.0,0.9,3.2,2.6,0.0,0.9
46,South Dakota,SD,46109,Roberts County,46109950400,Census Tract 9504; Roberts County; South Dakota,208.391030144224,1892,159,1362,73,768,60,419,155,8,8,89,32,83,40,171,83,508,72,446,96,252,59,41,30,2,38,101,215,0,14,317,83,4,11,12,9,36,2,22.7,8.2,1.0,1.0,11.6,4.1,6.1,3.1,9.2,4.1,26.8,4.2,23.6,3.9,13.6,3.2,5.4,3.9,0.1,2.1,5.3,11.4,0.0,1.0,23.3,5.8,0.5,1.4,1.6,1.1,1.9,0.2,0.6722,0.2531,0.0913,0.4149,0.6141,2.0456,0.3817,0.9046,0.4689,0.6971,0.6349,0.444,3.1495,0.917,0.1328,0.1328,0.1328,0.0,0.9253,0.361,0.2573,0.5311,2.0747,0.3361,7.4026,0.4481,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1141,115,37,0,10,12,15,0,10,47,47,0,10,42,35,0,10,15.0,4.7,0.0,1.3,0.6,0.8,0.0,1.3,2.5,2.4,0.0,1.3,2.2,1.9,0.0,1.3
46,South Dakota,SD,46111,Sanborn County,46111962100,Census Tract 9621; Sanborn County; South Dakota,569.241446214666,2373,0,1134,56,939,55,423,80,14,14,185,51,128,43,164,58,487,52,644,53,285,52,46,23,0,40,158,50,26,25,93,25,4,11,72,32,57,2,18.3,3.5,1.1,1.1,19.7,5.3,8.1,2.7,7.1,2.5,20.5,2.2,27.1,2.2,12.3,2.2,4.9,2.4,0.0,1.8,6.7,2.1,2.3,2.2,8.2,2.1,0.4,1.2,7.7,3.3,2.4,0.1,0.527,0.2905,0.5519,0.6058,0.4315,2.4067,0.5145,0.6598,0.6929,0.5436,0.5685,0.0,2.4648,0.5519,0.2282,0.2282,0.2282,0.361,0.6266,0.3112,0.7884,0.5809,2.6681,0.6266,7.7678,0.5145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,202,44,0,10,91,45,0,10,5,9,0,10,62,18,0,10,21.5,4.4,0.0,1.0,3.8,1.9,0.0,1.0,0.2,0.4,0.0,1.0,2.6,0.8,0.0,1.0
46,South Dakota,SD,46115,Spink County,46115000100,Census Tract 1; Spink County; South Dakota,669.08429869118,1887,158,928,63,758,67,369,103,13,16,90,43,109,45,99,46,486,60,442,82,169,45,29,30,0,40,68,222,6,12,67,25,0,14,7,7,0,10,19.6,5.2,1.4,1.7,11.9,5.6,8.0,3.2,5.2,2.3,25.8,3.6,23.4,3.0,9.0,2.4,3.8,3.9,0.0,2.2,3.6,11.8,0.6,1.3,7.2,2.7,0.0,1.8,0.9,0.9,0.0,0.5,0.5726,0.3444,0.1162,0.5975,0.2697,1.9004,0.332,0.8714,0.444,0.2075,0.4315,0.0,1.9544,0.2158,0.0498,0.0498,0.0498,0.1867,0.5519,0.0,0.1369,0.0,0.8755,0.0456,4.7801,0.0871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,53,28,0,10,0,10,0,10,6,10,0,10,58,47,4,5,7.0,3.6,0.0,1.3,0.0,1.3,0.0,1.3,0.3,0.6,0.0,1.3,3.1,2.4,0.2,0.3
46,South Dakota,SD,46115,Spink County,46115000200,Census Tract 2; Spink County; South Dakota,15.253288855006,2572,232,1209,68,1102,84,427,124,31,31,215,55,118,46,178,79,575,52,588,116,387,79,67,31,17,45,371,315,108,47,49,44,0,14,72,30,155,10,17.3,4.8,2.4,2.4,19.5,4.8,6.5,2.6,7.2,3.2,22.4,2.8,22.9,3.3,15.7,3.4,6.1,2.8,0.7,1.9,14.4,12.2,8.9,3.9,4.1,3.6,0.0,1.3,6.5,2.8,6.0,0.7,0.4979,0.4938,0.5394,0.4647,0.4564,2.4522,0.5311,0.7178,0.4066,0.7967,0.6846,0.722,3.3277,0.9419,0.5477,0.5477,0.5477,0.6349,0.4066,0.0,0.6929,0.8465,2.5809,0.5851,8.9085,0.6888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3296,162,54,70,60,190,35,0,10,16,10,0,10,95,99,0,10,14.7,4.8,2.7,2.3,7.4,1.4,0.0,1.0,0.6,0.4,0.0,1.0,3.7,3.8,0.0,1.0
46,South Dakota,SD,46115,Spink County,46115000300,Census Tract 3; Spink County; South Dakota,819.16047426952,1896,242,870,68,666,68,373,97,4,9,84,26,195,53,149,71,395,52,446,130,146,34,17,15,11,42,43,339,0,14,112,35,12,14,26,12,53,10,19.7,4.5,0.5,1.0,12.6,3.7,14.6,3.6,7.9,3.8,20.8,3.7,23.5,4.6,7.7,1.7,2.6,2.2,0.6,2.4,2.3,17.9,0.0,1.6,12.9,4.0,1.8,2.1,3.9,1.8,2.8,0.4,0.5851,0.1203,0.1328,0.9004,0.4979,2.2365,0.4398,0.6763,0.4606,0.1079,0.2241,0.6888,2.1577,0.3444,0.0041,0.0041,0.0041,0.0,0.751,0.6307,0.527,0.6183,2.527,0.5685,6.9253,0.3942,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,845,78,29,1,3,18,35,0,10,2,5,0,10,22,21,0,10,11.7,3.9,0.1,0.2,0.9,1.8,0.0,1.3,0.1,0.2,0.0,1.3,1.2,1.1,0.0,1.3
46,South Dakota,SD,46117,Stanley County,46117960100,Census Tract 9601; Stanley County; South Dakota,1444.431040785316,2979,0,1468,90,1239,95,208,98,3,8,169,61,122,63,182,88,655,94,660,65,407,89,12,18,0,40,327,104,91,44,341,93,21,24,36,28,0,10,7.0,3.3,0.2,0.5,13.6,4.8,5.7,3.0,6.1,3.0,22.0,3.2,22.2,2.2,13.7,3.0,1.0,1.5,0.0,1.4,11.0,3.5,6.1,3.0,23.2,6.2,1.7,1.9,2.9,2.3,0.0,0.3,0.0664,0.0788,0.1784,0.3817,0.361,1.0663,0.0996,0.7054,0.3527,0.7054,0.0581,0.0,1.8216,0.1535,0.4149,0.4149,0.4149,0.5519,0.9212,0.6058,0.3983,0.0,2.4772,0.527,5.78,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2404,170,74,0,10,131,78,0,10,100,78,0,10,83,78,13,20,13.7,5.8,0.0,0.8,4.4,2.6,0.0,0.8,3.4,2.6,0.0,0.8,2.8,2.6,0.4,0.7
46,South Dakota,SD,46119,Sully County,46119979100,Census Tract 9791; Sully County; South Dakota,1006.726608871836,1318,150,889,56,599,60,167,54,0,10,83,26,39,19,113,82,329,46,225,69,130,36,18,18,83,87,104,197,17,18,158,39,4,11,5,6,4,4,12.8,3.9,0.0,3.1,13.9,4.1,3.8,1.8,8.6,5.9,25.0,4.1,17.1,4.2,9.9,2.9,3.0,3.0,6.6,6.9,7.9,14.9,1.9,2.0,17.8,4.4,0.7,1.8,0.8,0.9,0.3,0.3,0.249,0.0,0.2033,0.1867,0.5685,1.2075,0.1286,0.8506,0.1079,0.3154,0.2946,0.9876,2.5561,0.6266,0.2822,0.2822,0.2822,0.3195,0.8631,0.4149,0.1245,0.3029,2.0249,0.3195,6.0707,0.249,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1590,112,41,72,78,0,10,0,10,0,10,0,10,32,37,0,10,18.7,6.3,5.5,5.7,0.0,1.9,0.0,1.9,0.0,1.9,0.0,1.9,2.4,2.8,0.0,1.9
46,South Dakota,SD,46121,Todd County,46121940100,Census Tract 9401; Todd County; South Dakota,473.333419065962,4761,410,1207,84,1076,93,3383,445,238,119,169,67,579,139,1436,299,293,65,1847,222,313,108,266,74,15,44,4596,415,40,29,159,50,191,75,204,61,128,10,73.4,7.3,19.3,7.8,15.7,6.1,25.5,5.4,31.0,5.2,6.2,1.3,38.8,3.0,6.8,2.4,24.7,6.5,0.4,1.0,96.5,2.6,3.4,2.4,13.2,4.0,17.8,6.8,19.0,5.7,2.7,0.3,0.9959,0.9876,0.3112,0.9876,0.971,4.2533,0.9295,0.029,0.9751,0.0788,1.0,0.5809,2.6638,0.7137,0.9959,0.9959,0.9959,0.4108,0.7718,0.9834,0.9751,0.6141,3.7552,0.9627,11.6682,0.9585,1,1,0,1,1,4,0,1,0,1,0,2,1,1,0,0,1,1,0,2,9,4126,453,96,0,10,223,140,183,110,4184,365,0,10,6,19,0,10,42.1,8.6,0.0,0.5,4.7,2.8,3.8,2.2,87.9,3.6,0.0,0.5,0.1,0.4,0.0,0.5
46,South Dakota,SD,46121,Todd County,46121940200,Census Tract 9402; Todd County; South Dakota,915.259074029486,4592,410,1681,84,1331,91,2734,374,169,53,287,79,369,124,1107,224,388,76,1839,215,408,95,223,66,1,39,4056,415,186,57,285,74,157,57,203,68,21,9,59.8,6.2,11.5,3.5,21.6,5.7,15.2,4.7,24.2,4.3,8.4,1.6,40.0,2.4,8.9,2.1,16.7,4.8,0.0,1.0,88.3,4.4,11.1,3.3,17.0,4.3,11.8,4.2,15.3,4.8,0.5,0.2,0.9793,0.9544,0.6224,0.917,0.9212,4.3943,0.9627,0.0871,0.9959,0.195,0.9834,0.0,2.2614,0.4066,0.971,0.971,0.971,0.6971,0.8548,0.9627,0.9461,0.3568,3.8175,0.9793,11.4442,0.9378,1,1,0,1,1,4,0,1,0,1,0,2,1,1,0,0,1,1,0,2,9,5166,480,84,1,7,169,140,131,110,3620,365,0,10,129,95,6,13,36.1,6.4,0.0,0.1,3.7,2.9,2.9,2.3,78.8,4.3,0.0,0.5,2.8,2.0,0.1,0.3
46,South Dakota,SD,46123,Tripp County,46123971600,Census Tract 9716; Tripp County; South Dakota,1579.443293937264,2402,134,1311,115,986,117,534,207,10,11,164,56,101,35,141,70,642,101,620,128,151,43,66,37,0,40,346,208,22,22,197,74,9,14,14,14,10,3,23.4,8.9,0.9,0.9,16.6,5.3,6.1,2.2,5.9,3.0,26.7,4.3,25.8,4.8,6.3,1.8,6.7,3.7,0.0,1.8,14.4,8.6,1.7,1.7,15.0,5.3,0.9,1.4,1.4,1.4,0.4,0.1,0.6846,0.2282,0.4025,0.4149,0.3485,2.0787,0.4025,0.888,0.6224,0.0539,0.7386,0.0,2.3029,0.4398,0.5477,0.5477,0.5477,0.3029,0.8091,0.473,0.2199,0.3361,2.141,0.3776,7.0703,0.4191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,180,63,0,10,12,18,11,16,236,124,0,10,80,63,7,12,18.3,6.4,0.0,1.0,0.5,0.7,0.5,0.6,9.8,5.1,0.0,1.0,3.3,2.6,0.3,0.5
46,South Dakota,SD,46123,Tripp County,46123971700,Census Tract 9717; Tripp County; South Dakota,32.844713738205996,3205,134,1483,110,1193,103,1165,222,126,90,319,102,312,84,453,125,649,101,659,128,317,105,42,34,57,62,793,207,118,61,207,72,0,14,108,63,158,5,37.9,7.0,7.9,5.5,26.7,8.2,13.0,3.2,14.7,4.1,20.2,3.2,20.6,3.7,10.3,3.6,3.6,2.8,1.9,2.1,24.7,6.4,7.9,4.1,14.0,4.8,0.0,1.2,9.1,5.4,4.9,0.3,0.8672,0.9046,0.7759,0.8465,0.8091,4.2033,0.917,0.639,0.2573,0.3361,0.3776,0.8755,2.4855,0.5726,0.7635,0.7635,0.7635,0.6058,0.7925,0.0,0.8299,0.8216,3.0498,0.7676,10.5021,0.8838,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3838,190,69,36,45,45,43,19,20,594,125,0,10,99,96,0,10,15.9,5.4,1.1,1.4,1.4,1.3,0.6,0.6,18.5,3.8,0.0,0.8,3.1,3.0,0.0,0.8
46,South Dakota,SD,46125,Turner County,46125965100,Census Tract 9651; Turner County; South Dakota,282.411670051136,4396,201,1914,94,1746,107,618,114,59,37,272,60,270,71,189,53,885,73,1090,90,401,68,87,29,6,39,246,278,66,33,59,26,6,5,55,25,74,4,14.5,2.6,2.5,1.6,15.6,3.3,9.0,2.3,4.4,1.3,20.1,1.7,24.8,1.5,9.3,1.6,4.9,1.6,0.1,0.9,5.6,6.3,3.4,1.7,3.1,1.4,0.3,0.3,3.2,1.4,1.7,0.0,0.361,0.5311,0.2988,0.6722,0.1618,2.0249,0.3776,0.6349,0.556,0.2282,0.5685,0.444,2.4316,0.527,0.1535,0.1535,0.1535,0.4108,0.3485,0.2822,0.4357,0.5021,1.9793,0.2905,6.5893,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797,279,57,48,29,93,40,3,6,19,19,4,7,79,38,0,10,16.0,3.3,1.1,0.6,2.1,0.9,0.1,0.1,0.4,0.4,0.1,0.2,1.8,0.9,0.0,0.6
46,South Dakota,SD,46125,Turner County,46125965200,Census Tract 9652; Turner County; South Dakota,334.652083781948,4291,201,1962,95,1696,89,849,184,46,28,316,64,247,97,259,112,988,68,1064,93,478,82,86,34,36,45,209,279,62,21,81,32,11,15,28,17,148,8,20.3,4.3,2.1,1.3,18.6,3.6,8.3,3.2,6.2,2.6,23.0,1.7,24.8,1.6,11.4,2.0,5.1,2.0,0.9,1.1,4.9,6.5,3.2,1.1,4.1,1.6,0.6,0.9,1.7,1.0,3.4,0.1,0.6017,0.4357,0.4979,0.6183,0.3693,2.5229,0.556,0.7469,0.556,0.4606,0.6058,0.7593,3.1286,0.9046,0.1203,0.1203,0.1203,0.4066,0.4066,0.3859,0.2614,0.7095,2.17,0.4025,7.9418,0.5353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2792,326,62,2,13,109,39,52,45,17,42,0,10,29,24,0,10,19.2,3.6,0.0,0.3,2.5,0.9,1.2,1.0,0.4,1.0,0.0,0.6,0.7,0.6,0.0,0.6
46,South Dakota,SD,46127,Union County,46127020100,Census Tract 201; Union County; South Dakota,261.852004575414,4388,332,1940,164,1819,162,585,163,63,43,320,88,217,58,425,190,1011,106,1076,178,547,125,78,44,4,39,396,450,78,43,101,56,34,40,44,36,62,3,13.5,3.6,2.8,1.9,17.6,4.6,7.0,1.9,9.8,4.2,23.0,2.8,24.5,3.2,12.6,2.7,4.3,2.4,0.1,1.0,9.0,10.2,4.0,2.2,5.2,2.9,1.9,2.2,2.4,2.0,1.4,0.1,0.2905,0.6058,0.4606,0.5104,0.6432,2.5105,0.5477,0.7469,0.5394,0.5934,0.4896,0.444,2.8133,0.7925,0.3485,0.3485,0.3485,0.4481,0.4689,0.6432,0.332,0.4564,2.3486,0.4772,8.0209,0.5602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639,328,91,4,5,148,131,22,29,40,33,0,10,181,161,1,3,18.0,5.0,0.1,0.1,3.4,2.9,0.5,0.7,0.9,0.8,0.0,0.6,4.1,3.6,0.0,0.1
46,South Dakota,SD,46127,Union County,46127020200,Census Tract 202; Union County; South Dakota,115.49315264353,3059,276,1250,138,1164,136,445,179,36,32,235,106,140,82,186,120,419,100,816,137,313,116,49,35,0,40,178,388,25,16,50,60,5,12,71,65,73,41,14.9,5.8,2.1,1.9,20.2,8.8,6.8,3.6,6.3,4.0,13.7,3.3,26.7,4.0,10.6,3.8,4.2,3.0,0.0,1.4,5.8,12.7,2.0,1.3,4.0,4.7,0.4,1.0,6.1,5.5,2.4,1.3,0.39,0.4357,0.5643,0.4938,0.3817,2.2655,0.4606,0.2656,0.6598,0.3693,0.4772,0.0,1.7719,0.1411,0.1577,0.1577,0.1577,0.3237,0.3942,0.3112,0.668,0.5809,2.278,0.4398,6.4731,0.2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,176,73,15,28,89,84,4,8,6,21,0,10,64,67,0,10,15.1,6.0,0.5,0.9,2.9,2.7,0.1,0.2,0.2,0.7,0.0,0.8,2.1,2.2,0.0,0.8
46,South Dakota,SD,46127,Union County,46127020301,Census Tract 203.01; Union County; South Dakota,8.921487484712,5022,199,2176,120,2085,140,503,231,64,69,441,159,47,45,106,76,874,137,1149,156,464,174,73,72,19,64,836,333,576,130,30,32,7,19,0,15,0,15,10.0,4.6,2.4,2.6,21.2,7.5,1.4,1.4,2.1,1.5,17.4,2.7,22.9,3.0,9.2,3.4,3.5,3.4,0.4,1.3,16.6,6.6,26.5,5.8,1.4,1.5,0.3,0.9,0.0,1.2,0.0,0.3,0.1452,0.4938,0.6058,0.0498,0.0249,1.3195,0.1577,0.4564,0.4066,0.2158,0.361,0.5809,2.0207,0.2614,0.61,0.61,0.61,0.9004,0.2241,0.2822,0.0,0.0,1.4067,0.1162,5.3569,0.1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3964,254,117,28,47,350,172,245,92,50,59,0,15,113,83,50,72,12.2,5.5,0.6,0.9,7.0,3.4,4.9,1.8,1.0,1.2,0.0,0.5,2.3,1.6,1.0,1.4
46,South Dakota,SD,46127,Union County,46127020302,Census Tract 203.02; Union County; South Dakota,74.489924493996,4231,291,1932,155,1899,154,583,198,99,73,325,113,231,100,131,66,768,117,1015,187,538,165,227,98,46,55,395,426,160,89,103,49,28,34,61,50,0,10,14.0,4.7,4.5,3.2,17.1,5.8,7.7,3.4,3.1,1.5,18.2,2.7,24.0,3.7,12.7,3.7,12.0,5.1,1.1,1.4,9.3,10.0,8.3,4.6,5.3,2.5,1.5,1.8,3.2,2.6,0.0,0.2,0.3278,0.7635,0.4232,0.5685,0.0747,2.1577,0.4274,0.5021,0.5021,0.6141,0.9253,0.7884,3.332,0.9502,0.3693,0.3693,0.3693,0.6141,0.4813,0.556,0.4357,0.0,2.0871,0.3402,7.9461,0.5394,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,8015,245,95,24,31,104,89,13,20,67,69,9,16,173,103,5,8,12.9,4.7,0.6,0.7,2.5,2.1,0.3,0.5,1.6,1.7,0.2,0.4,4.1,2.4,0.1,0.2
