ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
46,South Dakota,SD,46103,Pennington County,46103011001,Census Tract 110.01; Pennington County; South Dakota,1.199698451012,2568,260,1018,95,996,93,298,132,28,42,251,103,58,34,190,110,728,100,504,127,328,117,33,34,1,38,450,364,185,84,0,10,0,14,173,99,247,13,12.8,5.5,2.4,3.6,25.2,10.1,3.1,1.8,8.2,4.6,28.3,4.4,19.6,4.0,14.1,5.0,3.3,3.4,0.0,1.6,17.5,14.1,18.2,8.1,0.0,2.4,0.0,1.4,17.4,9.1,9.6,1.1,0.249,0.4938,0.7386,0.1328,0.5311,2.1453,0.4191,0.9461,0.1867,0.7386,0.3195,0.0,2.1909,0.3693,0.6224,0.6224,0.6224,0.7884,0.0,0.0,0.9627,0.9046,2.6557,0.6224,7.6143,0.4855,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,3,3705,190,92,1,2,112,88,81,76,109,80,12,30,135,122,0,10,19.1,8.3,0.0,0.1,4.4,3.4,3.2,3.0,4.2,3.1,0.5,1.2,5.3,4.5,0.0,1.0
46,South Dakota,SD,46103,Pennington County,46103011002,Census Tract 110.02; Pennington County; South Dakota,4.857057368052,7373,670,3562,325,3358,332,520,187,104,78,868,348,81,53,615,266,2135,346,1338,284,1011,393,120,77,64,84,1175,956,923,267,0,15,14,25,46,37,0,15,7.1,2.5,2.5,1.9,25.8,10.0,1.4,0.9,8.4,3.6,29.0,3.9,18.1,3.2,13.7,4.9,3.6,2.3,0.9,1.2,15.9,12.9,25.9,7.1,0.0,0.7,0.4,0.7,1.4,1.1,0.0,0.2,0.0747,0.5311,0.7635,0.0498,0.5477,1.9668,0.3527,0.9544,0.1411,0.7054,0.3776,0.7593,2.9378,0.8506,0.5892,0.5892,0.5892,0.8921,0.0,0.3112,0.2199,0.0,1.4232,0.1286,6.917,0.39,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4421,217,124,24,39,229,169,206,166,167,158,0,15,520,237,29,53,6.5,3.6,0.3,0.5,3.1,2.3,2.8,2.2,2.3,2.1,0.0,0.3,7.1,3.2,0.4,0.7
46,South Dakota,SD,46103,Pennington County,46103011004,Census Tract 110.04; Pennington County; South Dakota,24.098491078762,7820,714,3007,291,2866,288,271,193,166,149,218,95,14,22,234,187,1447,233,1974,332,612,233,62,53,0,60,720,981,0,21,178,249,0,21,57,65,0,15,3.5,2.5,4.0,3.5,7.6,3.2,0.3,0.4,3.0,2.3,18.5,3.1,25.2,3.3,7.8,2.9,2.1,1.8,0.0,0.8,9.2,12.5,0.0,0.7,5.9,8.0,0.0,0.7,2.0,2.3,0.0,0.2,0.0249,0.7344,0.0207,0.0083,0.0664,0.8547,0.0498,0.5187,0.5809,0.112,0.1701,0.0,1.3817,0.0456,0.361,0.361,0.361,0.0,0.4896,0.0,0.2863,0.0,0.7759,0.029,3.3733,0.0249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,13,21,66,65,353,269,15,24,67,59,0,15,202,183,17,29,0.5,0.7,0.8,0.8,4.5,3.4,0.2,0.3,0.9,0.8,0.0,0.3,2.6,2.3,0.2,0.4
46,South Dakota,SD,46103,Pennington County,46103011005,Census Tract 110.05; Pennington County; South Dakota,134.043162228578,2417,284,1194,108,942,97,315,135,35,31,136,51,59,35,238,107,570,113,475,140,151,44,18,17,29,60,184,391,0,14,183,63,24,27,6,6,49,5,13.3,5.5,2.6,2.1,14.4,5.2,3.3,1.9,10.0,4.0,23.6,5.2,19.7,4.6,6.3,2.0,1.9,1.8,1.3,2.6,7.6,16.2,0.0,1.2,15.3,4.9,2.5,2.9,0.6,0.6,2.0,0.3,0.2739,0.5602,0.2199,0.1452,0.6556,1.8548,0.3154,0.7801,0.195,0.0539,0.1452,0.8091,1.9833,0.2407,0.2656,0.2656,0.2656,0.0,0.8216,0.6971,0.0747,0.5394,2.1328,0.3568,6.2365,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,60,35,0,10,68,106,8,12,27,22,0,10,79,59,2,5,6.4,3.7,0.0,1.0,2.8,4.2,0.3,0.5,1.1,0.9,0.0,1.0,3.3,2.3,0.1,0.2
46,South Dakota,SD,46103,Pennington County,46103011100,Census Tract 111; Pennington County; South Dakota,0.973134569616,3126,392,1611,177,1561,186,465,198,111,72,548,204,111,79,317,144,781,286,568,175,603,189,132,73,83,77,689,566,393,148,0,10,7,14,39,47,8,3,15.0,6.1,6.5,4.2,35.1,12.4,5.4,3.8,10.3,4.6,25.0,7.9,18.2,4.9,19.6,5.7,8.4,4.6,2.9,2.7,22.0,17.9,24.4,8.8,0.0,1.5,0.4,0.9,2.5,3.0,0.3,0.1,0.4025,0.8755,0.9253,0.361,0.6722,3.2365,0.7469,0.8506,0.1494,0.9336,0.8257,0.9461,3.7054,0.9917,0.722,0.722,0.722,0.8672,0.0,0.3112,0.3444,0.3029,1.8257,0.2407,9.4896,0.7593,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,3,3660,153,120,48,56,252,201,58,58,42,49,0,10,134,101,155,152,9.8,7.2,1.5,1.9,8.1,6.2,1.9,1.9,1.3,1.6,0.0,0.8,4.3,3.1,5.0,4.9
46,South Dakota,SD,46103,Pennington County,46103011200,Census Tract 112; Pennington County; South Dakota,1.177910715152,2939,366,1439,149,1329,169,810,308,6,13,420,123,79,71,307,165,481,74,698,165,290,106,117,55,11,42,766,499,127,86,10,15,38,39,39,34,49,12,28.1,10.1,0.4,0.8,31.6,8.3,4.1,3.9,10.6,5.5,16.4,2.6,23.7,4.2,10.0,3.5,8.8,4.0,0.4,1.6,26.1,16.7,8.8,5.9,0.7,1.1,2.9,2.9,2.9,2.6,1.7,0.3,0.7676,0.0996,0.888,0.2116,0.6763,2.6431,0.5851,0.4025,0.4772,0.3195,0.8382,0.5809,2.6183,0.6639,0.7718,0.7718,0.7718,0.6307,0.1867,0.7386,0.3983,0.5021,2.4564,0.5187,8.4896,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3868,194,92,189,118,224,166,91,124,84,77,0,10,178,124,0,10,14.6,6.6,6.4,3.9,7.6,5.4,3.1,4.2,2.9,2.6,0.0,0.8,6.1,4.1,0.0,0.8
46,South Dakota,SD,46103,Pennington County,46103011300,Census Tract 113; Pennington County; South Dakota,37.72331405345,6594,618,3273,275,3039,285,746,281,147,99,704,212,113,83,476,245,2010,316,1175,231,937,234,80,64,0,60,848,835,343,147,75,61,22,38,117,97,74,7,11.3,4.1,4.4,2.9,23.2,6.6,2.2,1.6,7.3,3.7,30.5,3.7,17.8,2.8,14.3,3.7,2.6,2.1,0.0,0.9,12.9,12.6,10.5,4.4,2.3,1.9,0.7,1.2,3.8,3.1,1.1,0.0,0.1743,0.7593,0.6971,0.0705,0.4606,2.1618,0.4315,0.971,0.1286,0.7469,0.2241,0.0,2.0706,0.2822,0.5021,0.5021,0.5021,0.6722,0.2863,0.4149,0.5145,0.4315,2.3194,0.4606,7.0539,0.4149,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3321,201,104,30,32,408,244,0,15,104,114,0,15,306,187,0,15,6.6,3.3,0.5,0.5,6.2,3.5,0.0,0.4,1.6,1.8,0.0,0.4,4.6,2.8,0.0,0.4
46,South Dakota,SD,46103,Pennington County,46103011400,Census Tract 114; Pennington County; South Dakota,25.66930613895,8050,932,3360,291,3283,295,1930,557,209,198,948,239,299,142,985,321,1486,205,1687,371,1011,272,302,118,0,60,2107,1258,533,171,666,208,43,51,107,106,101,5,24.3,6.4,5.1,4.5,28.9,6.8,5.2,2.7,12.7,3.5,18.5,2.9,21.0,4.3,13.0,3.5,9.2,3.5,0.0,0.8,26.2,15.3,15.9,4.9,19.8,6.1,1.3,1.5,3.3,3.3,1.3,0.2,0.7012,0.8091,0.8423,0.3195,0.7552,3.4273,0.7759,0.5187,0.2739,0.6473,0.8548,0.0,2.2947,0.4315,0.7759,0.7759,0.7759,0.7676,0.8838,0.527,0.4564,0.444,3.0788,0.7842,9.5767,0.7801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12552,223,120,0,15,612,360,61,111,711,233,0,15,723,354,0,15,6.8,3.8,0.0,0.3,7.6,4.5,0.8,1.4,8.8,2.9,0.0,0.3,9.0,4.1,0.0,0.3
46,South Dakota,SD,46103,Pennington County,46103011601,Census Tract 116.01; Pennington County; South Dakota,262.688572164916,4551,519,1413,179,1388,176,642,391,28,29,256,120,385,364,314,191,469,118,1422,299,805,397,0,14,0,40,640,689,0,14,260,141,2,10,1,13,0,10,14.2,8.5,1.4,1.5,18.4,8.3,13.3,11.6,7.1,4.2,10.3,2.8,31.2,5.1,18.1,8.3,0.0,1.0,0.0,1.0,14.1,15.1,0.0,1.0,18.4,9.0,0.1,0.7,0.1,1.0,0.0,0.2,0.3444,0.3444,0.4855,0.8548,0.4315,2.4606,0.5353,0.1203,0.8797,0.9004,0.0,0.0,1.9004,0.1784,0.5353,0.5353,0.5353,0.0,0.8755,0.2573,0.0415,0.0,1.1743,0.083,6.0706,0.2448,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1590,15,22,0,10,223,222,0,10,147,94,0,10,270,220,0,10,1.1,1.6,0.0,0.5,4.9,4.7,0.0,0.5,3.2,2.0,0.0,0.5,5.9,4.6,0.0,0.5
46,South Dakota,SD,46103,Pennington County,46103011602,Census Tract 116.02; Pennington County; South Dakota,1623.165142330892,3363,358,1736,171,1269,129,622,200,40,34,310,85,121,67,406,134,641,162,816,141,361,101,70,50,0,40,648,500,31,20,360,158,20,14,64,47,55,6,18.8,5.7,2.4,2.2,24.4,6.2,5.3,2.9,12.5,3.9,19.1,4.4,24.3,3.3,11.1,3.0,5.5,3.9,0.0,1.3,19.3,14.7,1.8,1.1,20.7,7.8,1.6,1.1,5.0,3.7,1.6,0.1,0.5436,0.4938,0.7261,0.3402,0.7427,2.8464,0.6473,0.5768,0.5187,0.4398,0.639,0.0,2.1743,0.3485,0.6846,0.6846,0.6846,0.3154,0.8963,0.5809,0.6017,0.4938,2.8881,0.7178,8.5934,0.6224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524,194,77,43,30,115,88,87,83,77,41,4,7,284,180,38,53,15.3,5.6,1.3,0.9,3.4,2.6,2.6,2.4,2.3,1.2,0.1,0.2,8.4,5.2,1.1,1.6
